datetime,main.temp,main.humidity,main.feels_like,city_name
2026-01-01 05:02:03+08:00,23.27,93.0,24.08,Kidapawan
2026-01-01 05:02:04+08:00,23.74,96.0,24.68,Koronadal
2026-01-01 05:02:13+08:00,26.02,89.0,26.02,Lapu-Lapu City
2026-01-01 05:02:18+08:00,24.51,95.0,25.5,Legazpi City
2026-01-01 05:02:24+08:00,24.01,94.0,24.92,Lucena
2026-01-01 05:02:30+08:00,26.59,78.0,26.59,Makati City
2026-01-01 05:02:35+08:00,19.28,96.0,19.77,Malaybalay
2026-01-01 05:00:01+08:00,26.01,82.0,26.01,Manila
2026-01-01 05:02:53+08:00,24.3,91.0,25.16,Ormoc
2026-01-01 05:00:03+08:00,22.99,93.0,23.77,Pagadian
2026-01-01 05:03:08+08:00,25.73,82.0,26.5,Quezon City
2026-01-01 05:03:38+08:00,24.84,82.0,25.52,Surigao City
2026-01-01 05:03:45+08:00,23.63,94.0,24.5,Tacloban City
2026-01-01 05:04:04+08:00,25.6,84.0,26.41,Toledo City
2026-01-01 05:04:15+08:00,24.61,90.0,25.48,Zamboanga City
2026-01-01 05:59:05+08:00,24.25,88.0,25.03,Angeles City
2026-01-01 06:00:03+08:00,23.68,90.0,24.45,Antipolo
2026-01-01 06:00:06+08:00,23.91,94.0,24.81,Bacolod
2026-01-01 06:00:12+08:00,14.8,95.0,14.82,Baguio
2026-01-01 06:00:14+08:00,26.17,84.0,26.17,Bais
2026-01-01 06:00:19+08:00,23.93,88.0,24.68,Batangas City
2026-01-01 06:00:23+08:00,25.65,88.0,26.57,Baybay
2026-01-01 06:00:31+08:00,25.43,87.0,26.3,Bogo
2026-01-01 06:00:32+08:00,23.41,96.0,24.31,Borongan
2026-01-01 06:00:34+08:00,23.89,81.0,24.45,Butuan
2026-01-01 06:00:35+08:00,23.88,61.0,23.92,Cabadbaran
2026-01-01 06:00:37+08:00,23.79,85.0,24.44,Cabanatuan City
2026-01-01 06:00:40+08:00,25.74,87.0,26.64,Cadiz
2026-01-01 06:00:43+08:00,23.84,80.0,24.37,Cagayan de Oro
2026-01-01 06:00:51+08:00,23.69,93.0,24.54,Calbayog City
2026-01-01 06:00:53+08:00,25.24,85.0,26.04,Caloocan City
2026-01-01 06:01:02+08:00,24.33,90.0,25.17,Catbalogan
2026-01-01 06:01:07+08:00,24.81,94.0,25.8,Cebu City
2026-01-01 06:01:19+08:00,22.51,90.0,23.17,Dagupan
2026-01-01 06:01:26+08:00,25.05,100.0,26.22,Davao
2026-01-01 06:01:28+08:00,24.31,93.0,25.22,Digos
2026-01-01 06:01:30+08:00,24.87,89.0,25.74,Dipolog
2026-01-01 06:01:32+08:00,24.99,94.0,26.0,Dumaguete
2026-01-01 06:01:40+08:00,24.99,84.0,25.74,General Santos
2026-01-01 06:01:44+08:00,24.42,89.0,25.24,Gingoog City
2026-01-01 06:00:06+08:00,22.17,94.0,22.9,Iligan City
2026-01-01 06:01:51+08:00,24.26,93.0,25.17,Iloilo City
